train_loss,test_loss,f1_score
8.528074,8.311847,0.0
8.340589,8.164602,0.0
8.21745,8.068727,2.6364000997322403e-05
8.102651,7.9109287,1.2345679012345678e-05
7.9276433,7.807176,0.0
7.832843,7.780683,0.0
7.7525754,7.655359,0.0
7.7149706,7.609556,5.0572926781899396e-05
7.6900992,7.6123824,0.0004011936933885035
7.6411486,7.533469,0.000822484847576142
7.610471,7.593836,0.009256533528665801
7.5692177,7.469032,0.06835327307984185
7.5155606,7.3987465,0.11714511570350088
7.4557285,7.354224,0.266637490537695
7.3520145,7.3620534,0.5567477899350108
7.1757293,6.9766626,0.5165103422214186
6.946254,6.839732,0.5332306935953037
6.7298875,6.7814555,0.5685812954420542
6.5912275,6.665501,0.6014362173348479
6.5179324,6.6170955,0.5771433454524482
6.4729548,6.477428,0.6177061846184962
6.4334545,6.4386196,0.6140114774049859
6.386587,6.466865,0.6046634294938531
6.3481913,6.376132,0.6232803511458692
6.319627,6.3530993,0.6074018657172423
6.276003,6.2883234,0.6139469649336565
6.2508984,6.3114223,0.6182589953060712
6.2103057,6.2465863,0.6081937801599464
6.187717,6.2075157,0.618309498424245
6.1594524,6.126991,0.609010405086838
6.126889,6.211493,0.6235863069768818
6.1025767,6.1476216,0.61643233472418
6.0736065,6.139783,0.6273744254160064
6.03416,6.082118,0.6213095066682109
6.009055,5.986267,0.6318787752018302
